doctor_id,doctor_name,department,experience_years
1,Doctor_1,Cardiology,3
2,Doctor_2,General,21
3,Doctor_3,General,11
4,Doctor_4,Cardiology,27
5,Doctor_5,General,20
6,Doctor_6,General,27
7,Doctor_7,General,2
8,Doctor_8,Neurology,25
9,Doctor_9,Dermatology,6
10,Doctor_10,Orthopedics,14
11,Doctor_11,Neurology,5
12,Doctor_12,General,17
13,Doctor_13,Cardiology,25
14,Doctor_14,General,17
15,Doctor_15,Dermatology,24
16,Doctor_16,General,3
17,Doctor_17,Cardiology,18
18,Doctor_18,Dermatology,29
19,Doctor_19,General,28
20,Doctor_20,Dermatology,21
21,Doctor_21,Orthopedics,25
22,Doctor_22,Orthopedics,13
23,Doctor_23,General,19
24,Doctor_24,Dermatology,4
25,Doctor_25,Cardiology,29
26,Doctor_26,General,2
27,Doctor_27,Orthopedics,2
28,Doctor_28,Orthopedics,20
29,Doctor_29,General,12
30,Doctor_30,Dermatology,6
