payment_id,bill_id,payment_method,payment_amount
1,300,Insurance,1184
2,170,UPI,6072
3,21,Cash,11571
4,306,Card,10868
5,252,Insurance,3388
6,402,Insurance,18216
7,113,Cash,18059
8,35,Cash,14629
9,279,UPI,4012
10,179,Cash,7991
11,340,Insurance,11848
12,185,Insurance,8158
13,487,UPI,19393
14,422,Card,4759
15,343,Insurance,15603
16,124,Cash,2306
17,350,Insurance,13496
18,469,Card,13644
19,132,Insurance,1809
20,467,Insurance,17852
21,412,UPI,16951
22,23,Insurance,7308
23,165,Card,4144
24,86,Card,3145
25,108,Cash,14900
26,428,Card,7736
27,276,UPI,3363
28,383,Cash,1778
29,236,Insurance,2241
30,45,Card,2778
31,92,Insurance,19287
32,37,Cash,9475
33,209,UPI,15782
34,323,UPI,15189
35,162,Card,13763
36,345,Card,18525
37,4,Card,2491
38,359,Card,12721
39,476,Card,10497
40,403,Insurance,3834
41,145,UPI,13498
42,203,Card,16531
43,81,Cash,5468
44,383,UPI,18882
45,152,Cash,10766
46,347,Insurance,1365
47,284,Cash,5038
48,22,Card,19766
49,306,UPI,18601
50,281,Card,10984
51,108,Insurance,7938
52,212,Cash,6274
53,95,Cash,9281
54,100,Card,6942
55,344,Card,18984
56,237,Card,10524
57,344,Card,9214
58,51,Cash,16964
59,488,Insurance,12702
60,66,Cash,4278
61,146,Card,7340
62,163,UPI,15766
63,169,Insurance,5993
64,290,Insurance,11365
65,491,UPI,6525
66,3,Insurance,9066
67,403,Cash,15290
68,142,Insurance,5400
69,348,Insurance,16727
70,237,UPI,12755
71,397,Insurance,16957
72,283,Card,6759
73,331,Card,10195
74,440,Cash,18649
75,101,Insurance,3505
76,373,Card,1610
77,435,Card,19969
78,208,Cash,2201
79,283,Insurance,18808
80,458,UPI,5870
81,188,UPI,8317
82,457,Insurance,5387
83,238,Card,14001
84,187,Card,8827
85,435,Cash,17847
86,72,UPI,6217
87,92,Cash,16843
88,481,Insurance,2324
89,113,UPI,8593
90,33,Insurance,13105
91,120,Card,7775
92,266,Insurance,13717
93,241,UPI,2521
94,21,Insurance,4382
95,361,Insurance,9628
96,297,Cash,13342
97,335,UPI,12970
98,301,Card,17930
99,129,UPI,8303
100,265,UPI,12563
101,419,Insurance,16953
102,406,UPI,1216
103,257,Cash,15414
104,85,Cash,3526
105,264,Insurance,7930
106,77,Cash,6156
107,186,Card,8547
108,213,Insurance,4713
109,247,UPI,16696
110,108,Cash,14464
111,12,Cash,2413
112,66,Cash,5414
113,323,Card,19752
114,76,Card,6450
115,133,Cash,17929
116,491,UPI,19468
117,327,Card,10288
118,485,Card,8097
119,230,UPI,16783
120,88,Cash,14460
121,308,Cash,6959
122,320,Insurance,6495
123,371,Insurance,15859
124,306,Card,8530
125,194,UPI,5332
126,56,Card,7630
127,268,UPI,5900
128,311,Card,6813
